timestamps,TP9,AF7,AF8,TP10,Right AUX
1560169074.890,20.996,37.109,22.461,-3.418,30.273
1560169074.894,20.508,40.527,24.414,-10.742,75.195
1560169074.898,20.508,40.039,27.832,-4.395,65.430
1560169074.902,34.668,38.086,29.297,14.648,9.277
1560169074.905,27.832,38.086,30.273,4.395,9.277
1560169074.909,8.789,36.621,31.738,-20.508,22.949
1560169074.913,-2.441,34.668,34.668,-27.344,3.906
1560169074.917,-9.766,33.691,38.086,-30.273,55.176
1560169074.921,8.301,32.715,41.504,-9.277,65.918
1560169074.925,3.418,33.691,39.551,-13.672,-39.551
1560169074.929,-22.461,32.227,37.598,-46.387,-80.078
1560169074.933,-34.180,27.344,38.574,-58.594,-41.016
1560169074.937,-43.457,22.949,39.062,-61.523,-70.312
1560169074.941,-37.109,21.973,37.598,-47.852,-79.590
1560169074.945,-39.062,24.414,34.180,-42.969,41.992
1560169074.948,-52.246,26.855,31.738,-64.941,96.680
1560169074.952,-60.059,27.344,31.738,-77.637,82.520
1560169074.956,-68.848,23.926,34.180,-77.148,26.367
1560169074.960,-47.363,22.461,33.691,-52.734,-15.137
1560169074.964,-28.809,20.996,30.273,-42.969,12.207
1560169074.968,-41.504,23.926,27.832,-61.035,0.977
1560169074.972,-39.551,26.367,26.367,-52.246,-8.789
1560169074.976,-35.156,27.344,24.902,-40.527,17.578
1560169074.980,-21.973,29.297,24.902,-27.832,38.086
1560169074.984,-11.719,28.809,24.902,-16.113,117.188
1560169074.987,-27.344,32.227,24.902,-27.344,82.031
1560169074.991,-26.367,30.762,25.879,-25.879,28.809
1560169074.995,-17.090,30.273,26.855,-20.508,48.340
1560169074.999,-3.418,29.297,26.855,-2.441,58.594
1560169075.003,9.766,25.879,26.367,17.578,91.797
1560169075.007,-1.465,24.414,25.391,8.301,41.016
1560169075.011,-3.418,25.391,28.809,8.301,23.926
1560169075.015,4.395,28.320,28.320,10.254,12.207
1560169075.019,21.973,29.785,26.855,24.902,-11.719
1560169075.023,42.480,28.809,28.320,49.805,-28.809
1560169075.027,27.832,27.832,32.227,39.551,-24.902
1560169075.030,17.090,30.273,34.180,30.273,28.809
1560169075.034,17.578,29.785,26.855,25.879,29.785
1560169075.038,21.484,28.320,20.996,31.738,44.922
1560169075.042,37.598,28.809,21.484,52.246,63.477
1560169075.046,25.391,26.855,24.414,27.832,17.090
1560169075.050,13.672,27.832,31.250,9.766,0.977
1560169075.054,15.625,31.250,23.438,25.879,31.250
1560169075.058,20.996,33.691,22.461,28.320,55.664
1560169075.062,44.922,33.203,31.250,44.922,16.113
1560169075.066,41.992,32.227,31.250,40.527,-8.301
1560169075.069,29.297,36.133,31.738,24.902,4.395
1560169075.073,26.367,36.621,30.762,21.484,60.059
1560169075.077,27.832,33.203,27.832,20.508,96.191
1560169075.081,50.293,33.203,25.879,44.434,43.457
1560169075.085,49.316,34.180,26.855,43.945,36.133
1560169075.089,30.273,34.668,29.785,25.879,36.621
1560169075.093,25.391,34.180,29.785,22.461,47.852
1560169075.097,23.438,35.156,30.273,21.973,84.961
1560169075.101,42.480,36.621,28.320,43.457,82.031
1560169075.105,47.852,38.086,24.902,39.062,35.645
1560169075.109,29.785,37.109,25.879,14.160,6.348
1560169075.112,23.438,35.156,24.414,10.254,8.301
1560169075.116,27.832,36.133,24.414,15.137,22.461
1560169075.120,40.527,35.645,26.855,38.086,67.871
1560169075.124,39.062,33.691,25.879,37.109,61.523
1560169075.128,24.414,36.133,26.367,17.578,37.109
1560169075.132,26.855,35.645,29.785,17.090,28.809
1560169075.136,27.344,37.109,31.250,19.043,14.648
1560169075.140,37.109,37.109,30.273,35.645,0.000
1560169075.144,45.898,35.156,27.832,42.969,-62.012
1560169075.148,27.832,36.133,27.344,21.973,-36.621
1560169075.152,20.508,36.621,28.320,13.672,-6.836
1560169075.155,18.066,34.180,30.273,7.324,-72.266
1560169075.159,30.762,36.133,32.227,22.949,-26.855
1560169075.163,41.992,38.086,31.738,42.969,101.074
1560169075.167,23.438,34.180,27.832,22.949,110.840
1560169075.171,16.602,36.133,24.902,8.301,1.953
1560169075.175,15.137,37.598,25.391,4.883,18.555
1560169075.179,27.344,37.598,25.879,18.066,39.062
1560169075.183,45.410,39.062,29.785,37.109,41.504
1560169075.187,29.785,37.598,29.785,20.508,95.215
1560169075.191,21.484,38.574,28.809,9.277,71.777
1560169075.194,20.508,39.062,28.809,10.254,78.613
1560169075.198,28.320,33.203,27.344,20.996,63.477
1560169075.202,48.828,34.180,28.809,39.551,39.551
1560169075.206,35.156,37.109,27.832,25.879,46.387
1560169075.210,21.484,36.621,26.367,12.207,46.875
1560169075.214,17.090,37.109,25.391,9.766,88.867
1560169075.218,18.555,38.086,25.391,17.090,106.934
1560169075.222,32.227,37.109,25.879,34.180,83.496
