timestamps,TP9,AF7,AF8,TP10,Right AUX
1560169124.094,-35.645,23.438,20.996,-50.781,41.992
1560169124.098,-47.852,23.926,19.043,-69.824,6.348
1560169124.102,-39.062,23.438,19.043,-64.453,-62.012
1560169124.106,-4.395,25.879,16.113,-26.855,-32.227
1560169124.110,13.184,30.273,13.672,-6.348,40.039
1560169124.114,-17.090,32.227,15.625,-30.762,80.078
1560169124.118,-22.461,33.691,14.648,-39.551,17.578
1560169124.121,-20.996,37.109,13.184,-37.598,20.020
1560169124.125,6.836,40.527,10.254,-1.953,61.523
1560169124.129,37.598,41.992,6.348,24.414,48.828
1560169124.133,6.348,43.945,5.859,-2.930,22.949
1560169124.137,-9.766,43.457,4.883,-15.625,10.254
1560169124.141,-8.789,40.039,4.883,-11.719,8.301
1560169124.145,10.254,41.504,7.324,14.160,12.207
1560169124.149,42.969,41.504,11.230,51.270,33.691
1560169124.153,28.320,40.039,15.625,29.785,46.387
1560169124.157,8.301,41.016,14.648,9.766,61.035
1560169124.160,0.977,35.645,16.602,-3.906,91.797
1560169124.164,20.996,28.809,19.531,17.090,84.473
1560169124.168,55.664,29.297,20.020,57.617,79.590
1560169124.172,33.691,28.809,22.949,31.250,78.613
1560169124.176,9.277,23.926,21.973,3.906,25.879
1560169124.180,10.742,22.949,18.555,0.977,23.926
1560169124.184,24.902,23.438,20.508,13.184,37.598
1560169124.188,61.035,20.508,20.508,42.480,28.809
1560169124.192,47.852,23.438,16.113,30.273,-40.527
1560169124.196,15.625,27.344,13.184,-2.930,-53.223
1560169124.200,7.324,28.809,13.184,-18.066,13.672
1560169124.203,13.672,31.738,9.277,-5.859,36.621
1560169124.207,44.922,34.668,3.906,41.016,57.129
1560169124.211,40.039,34.668,4.395,31.738,45.898
1560169124.215,4.395,32.715,7.324,-6.348,56.641
1560169124.219,0.488,34.668,11.719,-4.395,79.102
1560169124.223,19.043,37.109,12.695,8.301,83.496
1560169124.227,56.641,38.086,14.648,46.875,143.066
1560169124.231,57.129,38.086,16.113,51.270,109.375
1560169124.235,25.391,38.574,12.207,17.090,49.805
1560169124.239,16.113,38.086,15.137,7.324,61.523
1560169124.242,18.555,33.203,16.602,6.348,74.707
1560169124.246,50.293,33.203,18.066,35.156,22.949
1560169124.250,52.246,33.691,19.531,52.734,26.855
1560169124.254,17.578,31.738,18.066,17.578,69.824
1560169124.258,2.930,29.297,20.020,-1.953,22.461
1560169124.262,0.488,25.879,18.555,-5.371,-68.359
1560169124.266,32.227,26.367,17.090,27.832,12.695
1560169124.270,49.805,32.715,19.043,48.340,116.699
1560169124.274,19.043,34.180,18.066,18.555,3.906
1560169124.278,0.000,33.203,19.531,0.000,1.465
1560169124.282,0.000,31.738,19.531,-1.465,41.992
1560169124.285,32.227,28.809,20.996,30.273,75.195
1560169124.289,60.059,31.738,21.973,48.828,81.543
1560169124.293,28.809,32.715,20.996,16.113,3.906
1560169124.297,17.090,31.738,20.508,3.906,8.789
1560169124.301,21.484,35.156,19.531,8.301,61.523
1560169124.305,43.945,34.180,20.996,29.785,78.125
1560169124.309,71.289,32.227,21.484,51.270,33.691
1560169124.313,33.691,31.250,20.508,22.461,20.020
1560169124.317,8.789,28.809,18.555,1.465,33.691
1560169124.321,10.254,28.320,16.602,4.395,9.277
1560169124.325,22.461,28.809,16.602,25.391,-6.836
1560169124.328,56.152,27.832,13.672,48.340,21.973
1560169124.332,38.574,27.344,12.207,31.738,88.867
1560169124.336,10.254,26.855,13.184,3.418,78.125
1560169124.340,5.371,29.297,14.648,-5.371,37.109
1560169124.344,17.090,31.738,13.184,11.230,15.137
1560169124.348,50.293,29.297,11.230,40.039,-7.324
1560169124.352,29.297,29.785,9.277,15.137,-11.230
1560169124.356,-3.906,29.785,8.789,-18.555,10.254
1560169124.360,-5.371,33.691,10.254,-16.113,59.570
1560169124.364,9.766,36.133,12.695,6.836,31.738
1560169124.367,48.828,35.156,13.184,45.410,24.902
1560169124.371,43.945,34.180,10.742,31.738,46.387
1560169124.375,19.531,33.203,11.230,-1.465,-7.812
1560169124.379,9.766,35.645,12.695,-2.441,-44.922
1560169124.383,19.531,36.133,12.695,13.184,-20.020
1560169124.387,58.594,36.621,12.207,45.410,-3.418
1560169124.391,46.387,34.668,13.184,37.598,15.137
1560169124.395,11.719,33.203,11.719,-6.836,63.477
1560169124.399,7.812,32.715,15.137,-8.301,66.895
1560169124.403,14.648,32.227,20.020,13.184,1.953
1560169124.407,42.969,32.227,19.043,46.387,-1.465
1560169124.410,44.922,31.738,15.625,43.457,-13.672
1560169124.414,13.672,34.180,14.648,7.812,15.625
1560169124.418,2.930,35.645,12.207,-4.395,50.293
1560169124.422,4.883,34.668,7.324,-2.930,15.137
1560169124.426,33.203,36.621,8.301,30.273,-11.719
1560169124.430,45.898,38.574,12.207,40.039,5.859
1560169124.434,16.602,37.109,13.184,10.254,19.043
1560169124.438,1.953,35.156,12.695,0.488,-2.930
1560169124.442,6.836,36.133,17.090,4.395,73.242
1560169124.446,38.574,37.598,20.508,44.434,93.750
1560169124.450,61.523,37.598,23.926,65.430,18.066
1560169124.453,26.855,39.062,25.391,24.902,43.457
1560169124.457,7.812,39.551,23.926,15.137,61.523
1560169124.461,15.625,40.527,25.879,23.438,65.430
1560169124.465,40.039,41.016,23.438,45.898,95.215
1560169124.469,57.617,37.109,19.531,67.871,85.938
1560169124.473,35.156,39.062,20.508,34.180,102.051
1560169124.477,17.578,43.457,19.043,11.230,72.754
1560169124.481,12.207,42.969,18.555,9.277,17.578
1560169124.485,38.086,40.039,20.020,38.086,65.918
1560169124.489,60.547,39.551,18.555,66.406,60.547
1560169124.492,25.391,41.504,17.090,26.367,12.207
1560169124.496,3.906,38.574,12.207,0.977,13.184
1560169124.500,-0.488,35.156,13.184,-1.953,51.270
1560169124.504,11.719,36.133,12.695,13.672,79.590
1560169124.508,43.457,35.156,9.277,45.898,40.527
1560169124.512,17.090,34.668,11.719,20.508,-25.391
1560169124.516,-10.254,33.203,9.277,-7.324,-16.602
1560169124.520,-13.184,30.273,6.836,-14.648,13.672
1560169124.524,-1.953,29.297,8.789,1.953,1.465
1560169124.528,37.109,28.809,10.254,42.480,22.461
1560169124.532,27.344,29.297,11.719,26.367,46.875
1560169124.535,-2.441,32.227,16.113,-2.441,22.949
1560169124.539,-7.324,34.668,19.531,-1.465,29.785
1560169124.543,6.836,34.180,19.043,17.578,5.371
1560169124.547,50.293,34.668,19.531,56.152,4.883
1560169124.551,45.898,37.598,21.973,42.969,34.668
1560169124.555,10.742,36.621,20.020,9.766,4.883
1560169124.559,5.859,36.621,20.020,5.859,47.852
1560169124.563,12.207,37.109,20.996,15.625,96.191
1560169124.567,46.875,33.691,20.508,46.387,103.516
1560169124.571,42.480,31.250,20.508,38.086,64.941
1560169124.574,2.930,30.762,18.066,2.441,45.410
1560169124.578,-8.789,31.250,19.043,-8.301,32.715
1560169124.582,-5.371,30.273,18.555,-4.395,0.000
1560169124.586,27.832,26.367,20.020,33.203,10.742
1560169124.590,29.785,25.879,22.949,41.992,-8.301
1560169124.594,-5.371,26.855,23.438,8.301,-44.434
1560169124.598,-8.789,25.391,24.902,-3.418,-25.879
1560169124.602,-4.395,25.391,24.414,0.977,7.812
1560169124.606,25.879,25.391,24.414,31.250,27.832
1560169124.610,40.039,26.367,23.926,48.340,32.227
1560169124.614,13.672,31.738,19.043,12.695,37.598
1560169124.617,6.836,32.227,19.043,-1.465,39.062
1560169124.621,3.418,27.832,20.508,-2.930,72.266
1560169124.625,27.344,28.320,18.066,20.020,77.148
1560169124.629,43.945,30.762,16.113,41.016,65.918
1560169124.633,9.277,30.273,15.137,3.418,57.129
1560169124.637,-5.371,30.273,16.602,-11.719,4.883
1560169124.641,-10.742,31.250,15.137,-11.230,14.648
1560169124.645,15.625,28.809,17.090,11.230,-16.113
1560169124.649,44.922,25.391,19.043,40.527,-30.762
1560169124.653,8.789,25.391,18.066,9.766,12.695
1560169124.657,-7.812,29.785,17.578,-11.230,35.645
1560169124.660,-8.301,31.738,18.066,-10.254,46.875
1560169124.664,8.301,31.250,19.531,6.348,52.734
